,title,answers
20,"
Soru:
21.04.2012
Tahlil sonucu
","
Merhaba,
Ameliyat ancak sizde varikosel tesbit edilirse yapılır. testtislerinizde damar kalınlaşması varmı? Öksürünce elinize damar geliyormu? Sperm testinizde syı normal. hareket ve yapısal normal değeriniz az. Üroloji doktorunuz da sizi görüp varikosel yok derse ki buna sizin kararınızda önemli.. Size NO ile ( L arginin ve Taurin) Sperm kalitenizi yükseltebilirsiniz. NO yu yurt dışından getiren firma 0532 214 9113 den temin edebilirsiniz.
Sevgi ve sğlıkla kalmanızı dilerim. Yrd. Doç. Dr. Sevinç Ege
"
21,"
Soru:
30.11.2013
Mr sonucum
","
bugün gittiğim nörolog VASKÜLİT açısından değerlendirme için başka bi polikliniğe yönlendirdi, vaskülit olabilir mi sizce ?korkuyorum
"
22,"
Soru:
25.06.2011
Kanal tedavisi
","
merhaba, amalgam dolgular ağızda farklı bir metalin, sigara jelatininin dahi temas etmesiyle oluşan galvanik akım sayesinde elektrik iletimi özellikleri sayesinde şiddetli ağrıya sebep olurlar. diğer yandan; dolgu altında gelişen çürüğün temizlenmesi yada gereğinden fazla temizleme sayesinde kanala girilebilir. hekiminizin tecrübesine yeterince güvenmiyorsanız bir başka hekime gidebilirsiniz. ayrıca uğradığınız zarar ziyan vs tazmin etme hakkınızın olduğunu bilmelisiniz. geçmiş olsun.
"
23,"
Soru:
02.04.2007
sağ tarafım uyuşuk?
","
Re: Sağ Tarafım UyuşukMerhaba. Beyin ve boyun MRlarınızın çekilmesi uygun olur. En azından bu bölgelerde önemli bir durumun olup olmadığını görmüş olursunuz. İyi günler.
"
24,"
Soru:
24.02.2007
perianal apse
","
fistulperianal abselerin hemen hemen dogal iyilesme sonucu diyebilecegimiz bir hastalik maalesef perianal fistuller. abseler acilip tedavi edildikten sonra perianal fistul gelisimi biz cerrahlar tarafindan beklenir ve hastanin fistul nedeniyle cogu kez ameliyati gerekir cunku kendiliginden iyilesme sansi genelde az. perianal abseler tekrarlamalar yapabilirler. su anda eger akintiniz kotu kokulu ve enfeksiyonu dusundurur tarzda degilse antibiyotigi kullanmayin veya doktorunuza gorunup oyle kullanin derim cunku bir hayli zamandir antibiotik aliyor oldugunuzu anliyorum yazinizdan. fistulun olusup olusmadigi veya boyut ve yerlesiminin ne oldugunu anlayabilmek icin doktorunuz sizden manyetik resonans inceleme yani mr isteyecektir ve takiben tedavinizi planlayacaktir.gecmis olsunsaygi ile
"
25,"
Soru:
26.01.2011
Ameliyat sonrası uyanamama
","
By pass ameliyatının akabinde hastalar vücut dirençerine göre yoğum bakımda tutulur.Bu süre normal şartlarda 1 veya 2 gün sürebilir.Annenizin uyanamamasına bir çok sebeb bulunabilir.Bunlardan bazıları yanlış ameliyat,ameliyat esnasında veya sonrasına enfeksiyon kapması olabilir.Gözlerini açması,ellerini hareket ettirebilmesi sonuçları stabil yapar.2 hafta yoğun bakımda kalabilme ihtimali var.Ayrıca annenizin yaşı ve daha önce ameliyat geçirip geçirmediği hangi ilaçları kullandığı hakkında bilgi yazmamışsınız şimdilik bu kadar yardımcı olabiliyorum size.Geçmiş olsun
"
26,"
Soru:
28.12.2015
Mr sonuçlarım (lütfen acil)
","
MR normal gözüküyor
"
27,"
Soru:
01.08.2011
20 yaş dişi ve apse
","
Herhangi bir dişten kaynaklı apsenin antibiyotikle tedavisi mümkün değildir, antibiyotik apsenin küçülmesini sağlar, tedavi etmez. Küçülen apse ödemden dolayı ağrı yapmadığından genellikle antibiyotik apseyi geçirdi zannedilir. Tek çare dişinizin çekimi... Geçmiş olsun.
"
28,"
Soru:
18.02.2013
Kistli diş çektirme operasyonu
","
27 yaşındayım. Adana'da yaşamıyorum, değiştirmeyi unutmuşum..:)
"
29,"
Soru:
24.05.2011
Dolgu sorunu
","
Nasıl bir dengesizlik meydana? Biraz anlatabilir misiniz? Ağzınızı kapatırken ilk temas eden dişinizi ayırt edebiliyor musunuz? Bu diş hassasiyet yapıyor mu? Neden dolgular değişti. Önceden bu problem yok muydu? ağzınızda kaplama var mı? Veya çıkarıldı mı? vs...
"
30,"
Soru:
16.06.2011
Tme düzensizliği
","
merhaba,travmanın kronik hal alması ve aşırı baskı halinde dokuda ödem meydana gelir ve ortalama iki hafta kadar yeni bir travma yaşanmaz ise rahatlama görülür. bu sebeple çenenizi yeterince korumalısınız. ağzınızı 7-10 gün kadar açmaya çalışmayınız. eklem yıkaması yada küretajı zor bir işlem değildir. geçmiş olsun.
"
31,"
Soru:
07.01.2011
Tme mr
","
sağ ekleminizde herhangi bir sorun gözükmemekle birlikte sol ekleminizde bozulma (dejenerasyon) görülmektedir sağ taraftaki maxiller sinüsünüzde daha belirgin olmakla beraber her iki tarafta retansiyon kistiniz bulunmaktadır. anlayacağınız hale ancak bu kadar getirebilirim. sorun sol ekleminizden kaynaklanmakta.. bozulmanın sebebini sizi muayene eden ve mr ı gören hekiminiz koyacaktır.. geçmiş olsun..
"
32,"
Soru:
21.04.2012
Tahlil sonucu
","
Merhaba,
Ameliyat ancak sizde varikosel tesbit edilirse yapılır. testtislerinizde damar kalınlaşması varmı? Öksürünce elinize damar geliyormu? Sperm testinizde syı normal. hareket ve yapısal normal değeriniz az. Üroloji doktorunuz da sizi görüp varikosel yok derse ki buna sizin kararınızda önemli.. Size NO ile ( L arginin ve Taurin) Sperm kalitenizi yükseltebilirsiniz. NO yu yurt dışından getiren firma 0532 214 9113 den temin edebilirsiniz.
Sevgi ve sğlıkla kalmanızı dilerim. Yrd. Doç. Dr. Sevinç Ege
"
33,"
Soru:
30.11.2013
Mr sonucum
","
bugün gittiğim nörolog VASKÜLİT açısından değerlendirme için başka bi polikliniğe yönlendirdi, vaskülit olabilir mi sizce ?korkuyorum
"
34,"
Soru:
25.06.2011
Kanal tedavisi
","
merhaba, amalgam dolgular ağızda farklı bir metalin, sigara jelatininin dahi temas etmesiyle oluşan galvanik akım sayesinde elektrik iletimi özellikleri sayesinde şiddetli ağrıya sebep olurlar. diğer yandan; dolgu altında gelişen çürüğün temizlenmesi yada gereğinden fazla temizleme sayesinde kanala girilebilir. hekiminizin tecrübesine yeterince güvenmiyorsanız bir başka hekime gidebilirsiniz. ayrıca uğradığınız zarar ziyan vs tazmin etme hakkınızın olduğunu bilmelisiniz. geçmiş olsun.
"
35,"
Soru:
02.04.2007
sağ tarafım uyuşuk?
","
Re: Sağ Tarafım UyuşukMerhaba. Beyin ve boyun MRlarınızın çekilmesi uygun olur. En azından bu bölgelerde önemli bir durumun olup olmadığını görmüş olursunuz. İyi günler.
"
36,"
Soru:
24.02.2007
perianal apse
","
fistulperianal abselerin hemen hemen dogal iyilesme sonucu diyebilecegimiz bir hastalik maalesef perianal fistuller. abseler acilip tedavi edildikten sonra perianal fistul gelisimi biz cerrahlar tarafindan beklenir ve hastanin fistul nedeniyle cogu kez ameliyati gerekir cunku kendiliginden iyilesme sansi genelde az. perianal abseler tekrarlamalar yapabilirler. su anda eger akintiniz kotu kokulu ve enfeksiyonu dusundurur tarzda degilse antibiyotigi kullanmayin veya doktorunuza gorunup oyle kullanin derim cunku bir hayli zamandir antibiotik aliyor oldugunuzu anliyorum yazinizdan. fistulun olusup olusmadigi veya boyut ve yerlesiminin ne oldugunu anlayabilmek icin doktorunuz sizden manyetik resonans inceleme yani mr isteyecektir ve takiben tedavinizi planlayacaktir.gecmis olsunsaygi ile
"
37,"
Soru:
26.01.2011
Ameliyat sonrası uyanamama
","
By pass ameliyatının akabinde hastalar vücut dirençerine göre yoğum bakımda tutulur.Bu süre normal şartlarda 1 veya 2 gün sürebilir.Annenizin uyanamamasına bir çok sebeb bulunabilir.Bunlardan bazıları yanlış ameliyat,ameliyat esnasında veya sonrasına enfeksiyon kapması olabilir.Gözlerini açması,ellerini hareket ettirebilmesi sonuçları stabil yapar.2 hafta yoğun bakımda kalabilme ihtimali var.Ayrıca annenizin yaşı ve daha önce ameliyat geçirip geçirmediği hangi ilaçları kullandığı hakkında bilgi yazmamışsınız şimdilik bu kadar yardımcı olabiliyorum size.Geçmiş olsun
"
38,"
Soru:
28.12.2015
Mr sonuçlarım (lütfen acil)
","
MR normal gözüküyor
"
39,"
Soru:
01.08.2011
20 yaş dişi ve apse
","
Herhangi bir dişten kaynaklı apsenin antibiyotikle tedavisi mümkün değildir, antibiyotik apsenin küçülmesini sağlar, tedavi etmez. Küçülen apse ödemden dolayı ağrı yapmadığından genellikle antibiyotik apseyi geçirdi zannedilir. Tek çare dişinizin çekimi... Geçmiş olsun.
"
40,"
Soru:
18.02.2013
Kistli diş çektirme operasyonu
","
27 yaşındayım. Adana'da yaşamıyorum, değiştirmeyi unutmuşum..:)
"
41,"
Soru:
24.05.2011
Dolgu sorunu
","
Nasıl bir dengesizlik meydana? Biraz anlatabilir misiniz? Ağzınızı kapatırken ilk temas eden dişinizi ayırt edebiliyor musunuz? Bu diş hassasiyet yapıyor mu? Neden dolgular değişti. Önceden bu problem yok muydu? ağzınızda kaplama var mı? Veya çıkarıldı mı? vs...
"
42,"
Soru:
16.06.2011
Tme düzensizliği
","
merhaba,travmanın kronik hal alması ve aşırı baskı halinde dokuda ödem meydana gelir ve ortalama iki hafta kadar yeni bir travma yaşanmaz ise rahatlama görülür. bu sebeple çenenizi yeterince korumalısınız. ağzınızı 7-10 gün kadar açmaya çalışmayınız. eklem yıkaması yada küretajı zor bir işlem değildir. geçmiş olsun.
"
43,"
Soru:
07.01.2011
Tme mr
","
sağ ekleminizde herhangi bir sorun gözükmemekle birlikte sol ekleminizde bozulma (dejenerasyon) görülmektedir sağ taraftaki maxiller sinüsünüzde daha belirgin olmakla beraber her iki tarafta retansiyon kistiniz bulunmaktadır. anlayacağınız hale ancak bu kadar getirebilirim. sorun sol ekleminizden kaynaklanmakta.. bozulmanın sebebini sizi muayene eden ve mr ı gören hekiminiz koyacaktır.. geçmiş olsun..
"
44,"
Soru:
21.04.2012
Tahlil sonucu
","
Merhaba,
Ameliyat ancak sizde varikosel tesbit edilirse yapılır. testtislerinizde damar kalınlaşması varmı? Öksürünce elinize damar geliyormu? Sperm testinizde syı normal. hareket ve yapısal normal değeriniz az. Üroloji doktorunuz da sizi görüp varikosel yok derse ki buna sizin kararınızda önemli.. Size NO ile ( L arginin ve Taurin) Sperm kalitenizi yükseltebilirsiniz. NO yu yurt dışından getiren firma 0532 214 9113 den temin edebilirsiniz.
Sevgi ve sğlıkla kalmanızı dilerim. Yrd. Doç. Dr. Sevinç Ege
"
45,"
Soru:
30.11.2013
Mr sonucum
","
bugün gittiğim nörolog VASKÜLİT açısından değerlendirme için başka bi polikliniğe yönlendirdi, vaskülit olabilir mi sizce ?korkuyorum
"
46,"
Soru:
25.06.2011
Kanal tedavisi
","
merhaba, amalgam dolgular ağızda farklı bir metalin, sigara jelatininin dahi temas etmesiyle oluşan galvanik akım sayesinde elektrik iletimi özellikleri sayesinde şiddetli ağrıya sebep olurlar. diğer yandan; dolgu altında gelişen çürüğün temizlenmesi yada gereğinden fazla temizleme sayesinde kanala girilebilir. hekiminizin tecrübesine yeterince güvenmiyorsanız bir başka hekime gidebilirsiniz. ayrıca uğradığınız zarar ziyan vs tazmin etme hakkınızın olduğunu bilmelisiniz. geçmiş olsun.
"
47,"
Soru:
02.04.2007
sağ tarafım uyuşuk?
","
Re: Sağ Tarafım UyuşukMerhaba. Beyin ve boyun MRlarınızın çekilmesi uygun olur. En azından bu bölgelerde önemli bir durumun olup olmadığını görmüş olursunuz. İyi günler.
"
48,"
Soru:
24.02.2007
perianal apse
","
fistulperianal abselerin hemen hemen dogal iyilesme sonucu diyebilecegimiz bir hastalik maalesef perianal fistuller. abseler acilip tedavi edildikten sonra perianal fistul gelisimi biz cerrahlar tarafindan beklenir ve hastanin fistul nedeniyle cogu kez ameliyati gerekir cunku kendiliginden iyilesme sansi genelde az. perianal abseler tekrarlamalar yapabilirler. su anda eger akintiniz kotu kokulu ve enfeksiyonu dusundurur tarzda degilse antibiyotigi kullanmayin veya doktorunuza gorunup oyle kullanin derim cunku bir hayli zamandir antibiotik aliyor oldugunuzu anliyorum yazinizdan. fistulun olusup olusmadigi veya boyut ve yerlesiminin ne oldugunu anlayabilmek icin doktorunuz sizden manyetik resonans inceleme yani mr isteyecektir ve takiben tedavinizi planlayacaktir.gecmis olsunsaygi ile
"
49,"
Soru:
26.01.2011
Ameliyat sonrası uyanamama
","
By pass ameliyatının akabinde hastalar vücut dirençerine göre yoğum bakımda tutulur.Bu süre normal şartlarda 1 veya 2 gün sürebilir.Annenizin uyanamamasına bir çok sebeb bulunabilir.Bunlardan bazıları yanlış ameliyat,ameliyat esnasında veya sonrasına enfeksiyon kapması olabilir.Gözlerini açması,ellerini hareket ettirebilmesi sonuçları stabil yapar.2 hafta yoğun bakımda kalabilme ihtimali var.Ayrıca annenizin yaşı ve daha önce ameliyat geçirip geçirmediği hangi ilaçları kullandığı hakkında bilgi yazmamışsınız şimdilik bu kadar yardımcı olabiliyorum size.Geçmiş olsun
"
50,"
Soru:
28.12.2015
Mr sonuçlarım (lütfen acil)
","
MR normal gözüküyor
"
51,"
Soru:
01.08.2011
20 yaş dişi ve apse
","
Herhangi bir dişten kaynaklı apsenin antibiyotikle tedavisi mümkün değildir, antibiyotik apsenin küçülmesini sağlar, tedavi etmez. Küçülen apse ödemden dolayı ağrı yapmadığından genellikle antibiyotik apseyi geçirdi zannedilir. Tek çare dişinizin çekimi... Geçmiş olsun.
"
52,"
Soru:
18.02.2013
Kistli diş çektirme operasyonu
","
27 yaşındayım. Adana'da yaşamıyorum, değiştirmeyi unutmuşum..:)
"
53,"
Soru:
24.05.2011
Dolgu sorunu
","
Nasıl bir dengesizlik meydana? Biraz anlatabilir misiniz? Ağzınızı kapatırken ilk temas eden dişinizi ayırt edebiliyor musunuz? Bu diş hassasiyet yapıyor mu? Neden dolgular değişti. Önceden bu problem yok muydu? ağzınızda kaplama var mı? Veya çıkarıldı mı? vs...
"
54,"
Soru:
16.06.2011
Tme düzensizliği
","
merhaba,travmanın kronik hal alması ve aşırı baskı halinde dokuda ödem meydana gelir ve ortalama iki hafta kadar yeni bir travma yaşanmaz ise rahatlama görülür. bu sebeple çenenizi yeterince korumalısınız. ağzınızı 7-10 gün kadar açmaya çalışmayınız. eklem yıkaması yada küretajı zor bir işlem değildir. geçmiş olsun.
"
55,"
Soru:
07.01.2011
Tme mr
","
sağ ekleminizde herhangi bir sorun gözükmemekle birlikte sol ekleminizde bozulma (dejenerasyon) görülmektedir sağ taraftaki maxiller sinüsünüzde daha belirgin olmakla beraber her iki tarafta retansiyon kistiniz bulunmaktadır. anlayacağınız hale ancak bu kadar getirebilirim. sorun sol ekleminizden kaynaklanmakta.. bozulmanın sebebini sizi muayene eden ve mr ı gören hekiminiz koyacaktır.. geçmiş olsun..
"
56,"
Soru:
21.04.2012
Tahlil sonucu
","
Merhaba,
Ameliyat ancak sizde varikosel tesbit edilirse yapılır. testtislerinizde damar kalınlaşması varmı? Öksürünce elinize damar geliyormu? Sperm testinizde syı normal. hareket ve yapısal normal değeriniz az. Üroloji doktorunuz da sizi görüp varikosel yok derse ki buna sizin kararınızda önemli.. Size NO ile ( L arginin ve Taurin) Sperm kalitenizi yükseltebilirsiniz. NO yu yurt dışından getiren firma 0532 214 9113 den temin edebilirsiniz.
Sevgi ve sğlıkla kalmanızı dilerim. Yrd. Doç. Dr. Sevinç Ege
"
57,"
Soru:
30.11.2013
Mr sonucum
","
bugün gittiğim nörolog VASKÜLİT açısından değerlendirme için başka bi polikliniğe yönlendirdi, vaskülit olabilir mi sizce ?korkuyorum
"
58,"
Soru:
25.06.2011
Kanal tedavisi
","
merhaba, amalgam dolgular ağızda farklı bir metalin, sigara jelatininin dahi temas etmesiyle oluşan galvanik akım sayesinde elektrik iletimi özellikleri sayesinde şiddetli ağrıya sebep olurlar. diğer yandan; dolgu altında gelişen çürüğün temizlenmesi yada gereğinden fazla temizleme sayesinde kanala girilebilir. hekiminizin tecrübesine yeterince güvenmiyorsanız bir başka hekime gidebilirsiniz. ayrıca uğradığınız zarar ziyan vs tazmin etme hakkınızın olduğunu bilmelisiniz. geçmiş olsun.
"
59,"
Soru:
02.04.2007
sağ tarafım uyuşuk?
","
Re: Sağ Tarafım UyuşukMerhaba. Beyin ve boyun MRlarınızın çekilmesi uygun olur. En azından bu bölgelerde önemli bir durumun olup olmadığını görmüş olursunuz. İyi günler.
"
60,"
Soru:
24.02.2007
perianal apse
","
fistulperianal abselerin hemen hemen dogal iyilesme sonucu diyebilecegimiz bir hastalik maalesef perianal fistuller. abseler acilip tedavi edildikten sonra perianal fistul gelisimi biz cerrahlar tarafindan beklenir ve hastanin fistul nedeniyle cogu kez ameliyati gerekir cunku kendiliginden iyilesme sansi genelde az. perianal abseler tekrarlamalar yapabilirler. su anda eger akintiniz kotu kokulu ve enfeksiyonu dusundurur tarzda degilse antibiyotigi kullanmayin veya doktorunuza gorunup oyle kullanin derim cunku bir hayli zamandir antibiotik aliyor oldugunuzu anliyorum yazinizdan. fistulun olusup olusmadigi veya boyut ve yerlesiminin ne oldugunu anlayabilmek icin doktorunuz sizden manyetik resonans inceleme yani mr isteyecektir ve takiben tedavinizi planlayacaktir.gecmis olsunsaygi ile
"
61,"
Soru:
26.01.2011
Ameliyat sonrası uyanamama
","
By pass ameliyatının akabinde hastalar vücut dirençerine göre yoğum bakımda tutulur.Bu süre normal şartlarda 1 veya 2 gün sürebilir.Annenizin uyanamamasına bir çok sebeb bulunabilir.Bunlardan bazıları yanlış ameliyat,ameliyat esnasında veya sonrasına enfeksiyon kapması olabilir.Gözlerini açması,ellerini hareket ettirebilmesi sonuçları stabil yapar.2 hafta yoğun bakımda kalabilme ihtimali var.Ayrıca annenizin yaşı ve daha önce ameliyat geçirip geçirmediği hangi ilaçları kullandığı hakkında bilgi yazmamışsınız şimdilik bu kadar yardımcı olabiliyorum size.Geçmiş olsun
"
62,"
Soru:
28.12.2015
Mr sonuçlarım (lütfen acil)
","
MR normal gözüküyor
"
63,"
Soru:
01.08.2011
20 yaş dişi ve apse
","
Herhangi bir dişten kaynaklı apsenin antibiyotikle tedavisi mümkün değildir, antibiyotik apsenin küçülmesini sağlar, tedavi etmez. Küçülen apse ödemden dolayı ağrı yapmadığından genellikle antibiyotik apseyi geçirdi zannedilir. Tek çare dişinizin çekimi... Geçmiş olsun.
"
64,"
Soru:
18.02.2013
Kistli diş çektirme operasyonu
","
27 yaşındayım. Adana'da yaşamıyorum, değiştirmeyi unutmuşum..:)
"
65,"
Soru:
24.05.2011
Dolgu sorunu
","
Nasıl bir dengesizlik meydana? Biraz anlatabilir misiniz? Ağzınızı kapatırken ilk temas eden dişinizi ayırt edebiliyor musunuz? Bu diş hassasiyet yapıyor mu? Neden dolgular değişti. Önceden bu problem yok muydu? ağzınızda kaplama var mı? Veya çıkarıldı mı? vs...
"
66,"
Soru:
16.06.2011
Tme düzensizliği
","
merhaba,travmanın kronik hal alması ve aşırı baskı halinde dokuda ödem meydana gelir ve ortalama iki hafta kadar yeni bir travma yaşanmaz ise rahatlama görülür. bu sebeple çenenizi yeterince korumalısınız. ağzınızı 7-10 gün kadar açmaya çalışmayınız. eklem yıkaması yada küretajı zor bir işlem değildir. geçmiş olsun.
"
